Nom.C,Legislature,twitter,twitter_2,twitter_wiki_NE
Flavien Termet,XVII,flavien_termet,,
Hanane Mansouri,XVII,hanane_mnsr,,
Tematai Le Gayic,XVI,Tematai_LeGayic,,
Louis Boyard,"XVI, XVII",louisboyard,l_boyard,
Théo Bernhardt,XVII,th_bnrdt,,
Auguste Evrard,XVII,au_evrard,,
Hugo Prevost,XVII,prevost_hugo,,
Pierrick Berteloot,XVI,pierrickbrtlo,,
Alexandre Dufosset,XVII,alexandredfss,,
Bryan Masson,"XVI, XVII",massonbryan,,
Damien Maudet,"XVI, XVII",damienmaudt,,
Aurélien Le Coq,XVII,aurelien_le_coq,,
Maxime Amblard,XVII,maximeamblard5,,
Eddy Casterman,XVII,eddycasterman,,
Charles Rodwell,"XVI, XVII",charlesrodwell_,charles_rodwell,
Romain Tonussi,XVII,romaintonussi,,
Manon Meunier,"XVI, XVII",manonmeunier_up,,
Julien Limongi,XVII,julien_limongi,,
Louise Morel,"XVI, XVII",louisemorel67,louisemorel11,
Victor Catteau,XVI,victorcatteau,,
Marie-Charlotte Garin,"XVI, XVII",mc_garin,,
Pierre Cazeneuve,"XVI, XVII",pierrecazeneuve,,
Édouard Bénard,"XVI, XVII",edouardbenard76,,
Anaïs Belouassa-Cherifi,XVII,belouassaanais,,
Jordan Guitton,"XVI, XVII",jordan_guitton,,
Raphaël Arnault,XVII,arnaultraphael,,
Claire Lejeune,XVII,clairemlejeune,,
Marie Mesmeur,XVII,mariemesmeur,,
Alexandre Loubet,"XVI, XVII",alexandreloubet,,
Gaëtan Dussausaye,XVII,g_dussausaye,,
Jean Moulliere,XVII,JeanMoulliere,,
Ludovic Pajot,XV,ludovicpajot,,
Charles Alloncle,XVII,challoncle,,
Quentin Bataillon,XVI,qbataillon,,
Inaki Echaniz,"XVI, XVII",inakiechaniz,,
Céline Hervieu,XVII,celine_hervieu,,
Julien Rancoule,"XVI, XVII",j_rancoule,,
Clara Chassaniol,XVI,cl_chassaniol,,
Mathilde Hignet,"XVI, XVII",mathildehignet,mhignet,
Matthieu Marchio,"XVI, XVII",marchiomatthieu,,
Anthony Boulogne,XVII,antboulogne54,,
Aurélien Lopez-Liguori,"XVI, XVII",lopezliguori,,
Guillaume Florquin,XVII,guillaumefl59,,
Jorys Bovet,"XVI, XVII",jorysb3,,
Alexandre Sabatou,"XVI, XVII",asabatou,,
Antoine Vermorel-Marques,"XVI, XVII",antoinevermorel,,
Typhanie Degois,XV,typhanie_degois,,
Vincent Caure,XVII,vincent_caure,caurevincent,
David Amiel,"XVI, XVII",amiel_david_,,
David Guiraud,"XVI, XVII",guiraudind,,
Victor Habert-Dassault,"XV, XVI",,,
Pierre-Yves Cadalen,XVII,pycadalen,,
Alexis Izard,XVI,alexis_izard,,
Manon Bouquin,XVII,manon_bouquin,,
Gabrielle Cathala,XVII,gabriellecthl,,
Maxime Michelet,XVII,maxime_michelet,,
Lénaïck Adam,XV,lenaickadam,,
Thomas Ménagé,"XVI, XVII",thomas_mng,,
Pierre Henriet,"XV, XVI, XVII",henrietpierre,,
Philippe Brun,"XVI, XVII",p_brun,,
Arthur Delaporte,"XVI, XVII",arthurdelaporte,,
Antoine Armand,"XVI, XVII",antoine_armand,,
Kévin Mauvieux,"XVI, XVII",mauvieuxkevin,,
Bartolomé Lenoir,XVII,bartolenoir,,
Pauline Levasseur,XVII,,,
Hadrien Clouet,"XVI, XVII",hadrienclouet,,
Sylvain Carrière,"XVI, XVII",sylv20carriere,,
Robin Reda,"XV, XVI",robinreda,,
Bénédicte Peyrol,XV,b_peyrol,,
Sandrine Le Feur,"XV, XVI, XVII",sandrinelefeur,,
Clémence Guetté,"XVI, XVII",clemence_guette,,
Dimitri Houbron,XV,dhoubron1759,dimitrihoub17,
Maud Bregeon,"XVI, XVII",maudbregeon,guichard_claire,
Carlos Martens Bilongo,"XVI, XVII",bilongocarlos,,
Alexis Jolly,"XVI, XVII",alexisjollyrn,,
Marie Lebec,"XV, XVI, XVII",marielebec78,,
Mickaël Nogal,XV,mickaelnogal,,
Benjamin Lucas-Lundy,"XVI, XVII",benjam1lucas,,
Andy Kerbrat,"XVI, XVII",andykerbrat,andykerbrat2022,
Charlotte Goetschy-Bolognese,XVI,c_goetschyb,cgoetschy,
Bastien Marchive,"XVI, XVII",b_marchive,,
Sébastien Humbert,XVII,seb_humbert,,
Kévin Pfeffer,"XVI, XVII",k_pfeffer,,
Adrien Quatennens,"XV, XVI",aquatennens,,
Alma Dufour,"XVI, XVII",alma_dufour,,
