Nom,Legislature
Antoine Léaument,XV
Nadège Abomangoli,XVI
Ludovic Pajot,XV
Typhanie Degois,XV
Victor Habert-Dassault,XV
Lénaïck Adam,XV
Pierre Henriet,XV
Robin Reda,XV
Bénédicte Peyrol,XV
Sandrine Le Feur,XV
Dimitri Houbron,XV
Marie Lebec,XV
Mickaël Nogal,XV
Adrien Quatennens,XV
Raphaël Schellenberger,XV
Hervé Berville,XV
Ugo Bernalicis,XV
Damien Adam,XV
Gabriel Attal,XV
Sarah El Haïry,XV
Pierre Person,XV
Mathilde Panot,XV
Anne-Laure Cattelot,XV
Sacha Houlié,XV
Jean-Marc Zulesi,XV
Ian Boucard,XV
Damien Pichereau,XV
Marie-Ange Magne,XV
Cécile Muschotti,XV
Pierre-Henri Dumont,XV
Maxime Minot,XV
Alexandre Holroyd,XV
Aina Kuric,XV
Ludovic Mendes,XV
Guillaume Kasbarian,XV
Lamia El Aaraje,XV
Aurore Bergé,XV
Pieyre-Alexandre Anglade,XV
Fabien Di Filippo,XV
Marine Brenier,XV
Paula Forteza,XV
Bérangère Couillard,XV
Guillaume Chiche,XV
Aurélien Pradié,XV
Emmanuel Blairy,XV
Thomas Mesnier,XV
Guillaume Gouffier Valente,XV
Delphine O,XV
Laetitia Avia,XV
Alice Thourot,XV
Fiona Lazaar,XV
Laurent Saint-Martin,XV
Amélie De Montchalin,XV
Karine Lebon,XV
Julien Dive,XV
Mounir Belhamiti,XV
Pacôme Rupin,XV
Zivka Park,XV
Fannette Charvier,XV
Lise Magnier,XV
Thibault Bazin,XV
Fabien Matras,XV
Valéria Faure-Muntian,XV
Aurélien Taché,XV
Laurianne Rossi,XV
Mounir Mahjoubi,XV
Loïc Kervran,XV
Jean-Charles Larsonneur,XV
Christophe Naegelen,XV
Nicolas Meizonnet,XV
Émilie Guerel,XV
Alexandra Louis,XV
Anne-Laure Blin,XV
Benoit Simian,XV
Carole Grandjean,XV
Jean-Noël Barrot,XV
M'jid El Guerrab,XV
Joachim Son-Forget,XV
Pierre-Alain Raphan,XV
Coralie Dubost,XV
Sonia Krimi,XV
Stéphane Trompille,XV
